orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderID,labels:LABEL
1,2024-04-16 20:28:50,2024-04-19 20:28:50,2024-04-19 20:28:50,498.14,黄石金承信息有限公司网络安全,河南省丹县东城尤街b座 715081,军市,宁夏回族自治区,558977,中国,1,Order
2,2024-08-30 03:33:06,2024-09-06 03:33:06,2024-09-02 03:33:06,179.85,恩悌网络有限公司云计算,浙江省利县华龙巢湖路i座 210303,武汉市,山西省,843988,中国,2,Order
3,2025-08-23 20:58:09,2025-09-01 20:58:09,2025-08-28 20:58:09,180.74,和泰信息有限公司大数据分析,山东省鑫县魏都长沙街L座 384089,西安县,北京市,195089,中国,3,Order
4,2025-01-24 11:52:14,2025-01-31 11:52:14,2025-01-27 11:52:14,24.6,华成育卓科技有限公司物联网,辽宁省天津市南长兰州街Z座 934701,建市,福建省,354441,中国,4,Order
5,2025-02-23 09:27:22,2025-03-06 09:27:22,2025-02-27 09:27:22,243.64,超艺信息有限公司云计算,河北省成市东丽昆明街K座 960129,婷婷市,浙江省,753169,中国,5,Order
6,2025-06-06 11:20:17,2025-06-14 11:20:17,,441.53,数字100科技有限公司人工智能,安徽省北镇市东丽淮安路q座 582719,慧市,河南省,391859,中国,6,Order
7,2024-07-28 05:03:41,2024-07-31 05:03:41,2024-08-01 05:03:41,302.77,鑫博腾飞网络有限公司科技公司,上海市马鞍山市高港梧州路P座 473928,福州县,青海省,812546,中国,7,Order
8,2025-09-06 04:03:01,2025-09-13 04:03:01,2025-09-09 04:03:01,123.68,鸿睿思博网络有限公司科技公司,青海省兴安盟县西夏佘街D座 903506,长春县,澳门特别行政区,979622,中国,8,Order
9,2025-08-01 11:37:45,2025-08-05 11:37:45,2025-08-05 11:37:45,215.2,飞海科技科技有限公司电子商务,上海市长春市江北佛山街L座 320483,兰州市,陕西省,185037,中国,9,Order
10,2025-05-16 13:54:57,2025-05-22 13:54:57,,84.38,和泰科技有限公司智能科技,湖北省艳县城东武汉路F座 536666,永安市,陕西省,833354,中国,10,Order
11,2024-08-24 11:50:33,2024-08-29 11:50:33,2024-08-29 11:50:33,212.81,联通时科科技有限公司移动应用开发,澳门特别行政区鹏县华龙张街H座 626130,林市,福建省,669231,中国,11,Order
12,2025-10-14 08:53:53,2025-10-21 08:53:53,2025-10-17 08:53:53,181.09,数字100传媒有限公司物联网,澳门特别行政区哈尔滨县大兴上海路e座 923516,秀英市,河北省,622442,中国,12,Order
13,2025-10-10 15:58:57,2025-10-22 15:58:57,2025-10-14 15:58:57,99.39,中建创业网络有限公司信息技术,江苏省南宁市沈河吴街H座 274714,凤英市,海南省,841697,中国,13,Order
14,2025-11-23 03:45:06,2025-12-06 03:45:06,2025-11-25 03:45:06,288.31,九方科技有限公司虚拟现实,广东省莹县滨城徐街w座 535418,慧县,江西省,744631,中国,14,Order
15,2026-01-24 00:52:32,2026-02-07 00:52:32,2026-01-29 00:52:32,197.33,飞利信传媒有限公司电子商务,湖南省雪梅县平山西安路c座 107995,乌鲁木齐市,台湾省,706254,中国,15,Order
16,2026-04-02 07:53:02,2026-04-10 07:53:02,2026-04-04 07:53:02,176.08,鸿睿思博网络有限公司人工智能,西藏自治区云市蓟州黄路W座 144791,艳县,山西省,200853,中国,16,Order
17,2024-08-20 13:52:00,2024-08-29 13:52:00,2024-08-25 13:52:00,341.79,鑫博腾飞网络有限公司科技公司,上海市马鞍山市高港梧州路P座 473928,福州县,青海省,812546,中国,17,Order
18,2025-07-07 14:20:33,2025-07-16 14:20:33,2025-07-09 14:20:33,236.43,太极传媒有限公司物联网,江苏省明市黄浦武汉街C座 796913,瑞市,江苏省,735321,中国,18,Order
19,2024-05-07 19:39:42,2024-05-11 19:39:42,2024-05-08 19:39:42,292.72,思优信息有限公司虚拟现实,河北省澳门市梁平宜都街F座 195288,桂香县,辽宁省,124862,中国,19,Order
20,2026-01-03 00:09:03,2026-01-07 00:09:03,,276.72,和泰信息有限公司人工智能,云南省武汉市江北邱路V座 822794,石家庄市,湖北省,428965,中国,20,Order
21,2025-12-28 01:37:07,2026-01-03 01:37:07,,427.54,良诺信息有限公司信息技术,陕西省南昌县西峰朱路u座 281318,兰州县,天津市,255219,中国,21,Order
22,2025-03-31 16:57:08,2025-04-10 16:57:08,2025-04-04 16:57:08,406.95,和泰信息有限公司大数据分析,山东省鑫县魏都长沙街L座 384089,西安县,北京市,195089,中国,22,Order
23,2025-02-09 23:43:18,2025-02-21 23:43:18,2025-02-13 23:43:18,474.2,诺依曼软件传媒有限公司网络安全,浙江省秀梅市和平魏路q座 355128,秀兰市,四川省,798734,中国,23,Order
24,2026-01-22 19:50:59,2026-01-27 19:50:59,2026-01-26 19:50:59,80.29,超艺网络有限公司电子商务,台湾省惠州县牧野关岭街Q座 883077,佛山县,四川省,539452,中国,24,Order
25,2025-08-29 00:19:23,2025-09-01 00:19:23,2025-08-31 00:19:23,435.32,飞海科技网络有限公司移动应用开发,海南省天津市淄川张街q座 932172,燕县,浙江省,971594,中国,25,Order
26,2025-11-13 23:19:25,2025-11-21 23:19:25,2025-11-16 23:19:25,70.03,良诺信息有限公司移动应用开发,甘肃省秀云市上街合肥路i座 146344,西安市,湖北省,278336,中国,26,Order
27,2025-01-28 11:59:40,2025-02-01 11:59:40,2025-01-31 11:59:40,245.24,时空盒数字网络有限公司大数据分析,甘肃省淮安市房山侯路J座 800401,通辽县,香港特别行政区,104126,中国,27,Order
28,2024-06-07 02:25:38,2024-06-21 02:25:38,2024-06-11 02:25:38,169.67,思优信息有限公司虚拟现实,河北省澳门市梁平宜都街F座 195288,桂香县,辽宁省,124862,中国,28,Order
29,2025-08-14 09:14:23,2025-08-21 09:14:23,2025-08-19 09:14:23,176.92,迪摩网络有限公司移动应用开发,湖南省宁德县徐汇袁路V座 319614,桂兰县,台湾省,555505,中国,29,Order
30,2026-02-27 11:34:44,2026-03-11 11:34:44,2026-03-01 11:34:44,452.0,浦华众城传媒有限公司数字科技,海南省利县普陀巢湖路o座 999720,荣县,青海省,522458,中国,30,Order
31,2025-04-14 16:26:29,2025-04-22 16:26:29,2025-04-18 16:26:29,94.52,同兴万点传媒有限公司移动应用开发,安徽省雪县城北广州街H座 150246,想市,福建省,341121,中国,31,Order
32,2025-09-18 13:15:21,2025-09-27 13:15:21,2025-09-19 13:15:21,422.57,浙大万朋信息有限公司互联网服务,安徽省西安县沈北新澳门路X座 435212,秀英市,山东省,192695,中国,32,Order
33,2024-09-21 20:26:22,2024-10-05 20:26:22,2024-09-26 20:26:22,489.97,快讯信息有限公司大数据分析,内蒙古自治区通辽县金平兴城路i座 503555,荆门市,云南省,281393,中国,33,Order
34,2025-10-26 22:57:20,2025-10-29 22:57:20,2025-10-30 22:57:20,146.79,新宇龙信息科技有限公司科技公司,浙江省坤县海港淮安路j座 926220,贵阳市,澳门特别行政区,497153,中国,34,Order
35,2024-10-23 14:20:43,2024-10-31 14:20:43,2024-10-25 14:20:43,306.7,维旺明信息有限公司大数据分析,湖南省台北县西峰黄街e座 976378,北镇市,新疆维吾尔自治区,300772,中国,35,Order
36,2025-06-06 18:23:44,2025-06-12 18:23:44,2025-06-08 18:23:44,360.35,黄石金承信息有限公司网络安全,河南省丹县东城尤街b座 715081,军市,宁夏回族自治区,558977,中国,36,Order
37,2024-09-24 15:30:12,2024-10-01 15:30:12,2024-09-27 15:30:12,157.62,恩悌网络有限公司大数据分析,海南省宜都市海陵张街e座 169265,北镇县,香港特别行政区,794751,中国,37,Order
38,2026-03-22 02:41:21,2026-04-03 02:41:21,2026-03-23 02:41:21,250.92,商软冠联网络有限公司人工智能,新疆维吾尔自治区海口县丰都冯路M座 966391,瑜市,海南省,239768,中国,38,Order
39,2026-02-10 04:49:25,2026-02-15 04:49:25,2026-02-11 04:49:25,85.56,昊嘉信息有限公司云计算,上海市汕尾市长寿沈阳街C座 705111,云市,新疆维吾尔自治区,187121,中国,39,Order
40,2025-06-08 18:35:48,2025-06-20 18:35:48,,395.06,国讯信息有限公司金融科技,海南省兵县山亭周街y座 863706,潜江县,四川省,449463,中国,40,Order
41,2025-08-08 00:44:34,2025-08-16 00:44:34,2025-08-10 00:44:34,390.6,良诺信息有限公司信息技术,陕西省南昌县西峰朱路u座 281318,兰州县,天津市,255219,中国,41,Order
42,2024-10-18 16:45:03,2024-10-31 16:45:03,2024-10-19 16:45:03,435.88,恒聪百汇科技有限公司互联网服务,云南省帆市清城曾路O座 622721,淑珍县,湖南省,352095,中国,42,Order
43,2024-06-28 11:41:57,2024-07-02 11:41:57,,123.05,中建创业网络有限公司信息技术,江苏省南宁市沈河吴街H座 274714,凤英市,海南省,841697,中国,43,Order
44,2025-02-25 02:55:21,2025-03-08 02:55:21,2025-03-02 02:55:21,410.53,良诺传媒有限公司金融科技,陕西省潜江县怀柔赵街Z座 367503,巢湖市,黑龙江省,636618,中国,44,Order
45,2024-06-28 09:41:17,2024-07-05 09:41:17,2024-07-02 09:41:17,319.8,联通时科信息有限公司物联网,辽宁省建市六枝特阮路y座 261842,长沙市,天津市,224560,中国,45,Order
46,2024-11-05 10:57:46,2024-11-08 10:57:46,2024-11-07 10:57:46,278.64,恩悌网络有限公司大数据分析,海南省宜都市海陵张街e座 169265,北镇县,香港特别行政区,794751,中国,46,Order
47,2024-12-10 17:10:38,2024-12-20 17:10:38,2024-12-14 17:10:38,475.21,雨林木风计算机传媒有限公司数字科技,湖北省荣县白云汪路G座 286703,刚市,上海市,604223,中国,47,Order
48,2025-07-31 18:00:11,2025-08-05 18:00:11,,396.99,太极传媒有限公司物联网,江苏省明市黄浦武汉街C座 796913,瑞市,江苏省,735321,中国,48,Order
49,2025-05-09 04:03:31,2025-05-18 04:03:31,2025-05-14 04:03:31,272.92,商软冠联网络有限公司人工智能,新疆维吾尔自治区海口县丰都冯路M座 966391,瑜市,海南省,239768,中国,49,Order
50,2024-08-13 04:52:16,2024-08-25 04:52:16,2024-08-18 04:52:16,485.71,太极传媒有限公司物联网,江苏省明市黄浦武汉街C座 796913,瑞市,江苏省,735321,中国,50,Order
51,2024-08-05 03:56:15,2024-08-08 03:56:15,2024-08-08 03:56:15,371.34,思优信息有限公司虚拟现实,河北省澳门市梁平宜都街F座 195288,桂香县,辽宁省,124862,中国,51,Order
52,2024-09-18 05:21:18,2024-09-26 05:21:18,2024-09-22 05:21:18,187.05,和泰信息有限公司人工智能,云南省武汉市江北邱路V座 822794,石家庄市,湖北省,428965,中国,52,Order
53,2024-06-14 09:38:05,2024-06-26 09:38:05,2024-06-17 09:38:05,99.21,思优传媒有限公司生物科技,天津市武汉市普陀宜都街M座 997374,拉萨县,河北省,825490,中国,53,Order
54,2025-05-28 03:02:43,2025-06-03 03:02:43,2025-05-30 03:02:43,449.81,富罳网络有限公司互联网服务,重庆市宁市东城黄街A座 847040,洋县,福建省,901498,中国,54,Order
55,2026-01-21 13:56:28,2026-02-04 13:56:28,2026-01-23 13:56:28,340.01,联通时科科技有限公司移动应用开发,澳门特别行政区鹏县华龙张街H座 626130,林市,福建省,669231,中国,55,Order
56,2025-05-18 06:08:48,2025-05-26 06:08:48,2025-05-22 06:08:48,158.85,图龙信息科技有限公司金融科技,台湾省南京县蓟州武汉街t座 149909,重庆市,山东省,188461,中国,56,Order
57,2026-04-04 07:49:54,2026-04-12 07:49:54,2026-04-06 07:49:54,91.37,和泰信息有限公司大数据分析,山东省鑫县魏都长沙街L座 384089,西安县,北京市,195089,中国,57,Order
58,2024-12-03 07:15:14,2024-12-13 07:15:14,2024-12-05 07:15:14,217.1,思优传媒有限公司生物科技,天津市武汉市普陀宜都街M座 997374,拉萨县,河北省,825490,中国,58,Order
59,2025-08-25 02:03:11,2025-09-04 02:03:11,2025-08-29 02:03:11,218.92,数字100科技有限公司人工智能,安徽省北镇市东丽淮安路q座 582719,慧市,河南省,391859,中国,59,Order
60,2024-07-20 14:38:35,2024-07-28 14:38:35,2024-07-22 14:38:35,437.72,维旺明信息有限公司大数据分析,湖南省台北县西峰黄街e座 976378,北镇市,新疆维吾尔自治区,300772,中国,60,Order
61,2025-12-06 09:52:44,2025-12-09 09:52:44,2025-12-07 09:52:44,202.82,思优信息有限公司虚拟现实,河北省澳门市梁平宜都街F座 195288,桂香县,辽宁省,124862,中国,61,Order
62,2024-11-03 13:45:58,2024-11-17 13:45:58,2024-11-08 13:45:58,290.35,良诺信息有限公司信息技术,陕西省南昌县西峰朱路u座 281318,兰州县,天津市,255219,中国,62,Order
63,2025-01-20 23:56:33,2025-02-01 23:56:33,2025-01-22 23:56:33,20.67,九方科技有限公司虚拟现实,广东省莹县滨城徐街w座 535418,慧县,江西省,744631,中国,63,Order
64,2026-01-16 16:38:19,2026-01-26 16:38:19,2026-01-18 16:38:19,374.19,七喜信息有限公司数字科技,甘肃省辉市秀英天津路I座 383433,凤英市,四川省,911684,中国,64,Order
65,2025-09-28 22:47:19,2025-10-01 22:47:19,2025-10-01 22:47:19,384.85,思优传媒有限公司网络安全,江西省台北市城北合山街z座 819116,哈尔滨市,安徽省,375582,中国,65,Order
66,2024-07-06 21:53:38,2024-07-17 21:53:38,2024-07-11 21:53:38,310.06,创联世纪网络有限公司数字科技,辽宁省亮县锡山澳门路k座 303312,汕尾市,海南省,997340,中国,66,Order
67,2026-02-13 08:57:55,2026-02-25 08:57:55,,119.02,万迅电脑传媒有限公司大数据分析,福建省建军市蓟州淮安街Z座 471477,哈尔滨县,贵州省,302896,中国,67,Order
68,2026-01-08 10:26:25,2026-01-19 10:26:25,2026-01-11 10:26:25,126.15,凌云信息有限公司区块链技术,香港特别行政区鑫县滨城顾街t座 413207,石家庄市,甘肃省,366678,中国,68,Order
69,2024-04-27 17:51:17,2024-04-30 17:51:17,2024-04-29 17:51:17,313.35,天益传媒有限公司区块链技术,吉林省莉市涪城哈尔滨街q座 220531,婷婷县,澳门特别行政区,276141,中国,69,Order
70,2025-03-05 15:20:19,2025-03-17 15:20:19,2025-03-07 15:20:19,363.11,鸿睿思博网络有限公司人工智能,西藏自治区云市蓟州黄路W座 144791,艳县,山西省,200853,中国,70,Order
71,2026-03-22 05:09:42,2026-03-31 05:09:42,2026-03-26 05:09:42,201.71,九方科技有限公司虚拟现实,广东省莹县滨城徐街w座 535418,慧县,江西省,744631,中国,71,Order
72,2025-11-07 20:28:00,2025-11-17 20:28:00,2025-11-08 20:28:00,489.32,四通信息有限公司人工智能,云南省璐县花溪卢街V座 184974,巢湖市,西藏自治区,885926,中国,72,Order
