:START_ID(Order),:END_ID(Shipper),:TYPE
1,10,SHIPPED_VIA
2,7,SHIPPED_VIA
3,9,SHIPPED_VIA
4,7,SHIPPED_VIA
5,9,SHIPPED_VIA
6,5,SHIPPED_VIA
7,10,SHIPPED_VIA
8,6,SHIPPED_VIA
9,5,SHIPPED_VIA
10,5,SHIPPED_VIA
11,3,SHIPPED_VIA
12,7,SHIPPED_VIA
13,1,SHIPPED_VIA
14,9,SHIPPED_VIA
15,2,SHIPPED_VIA
16,3,SHIPPED_VIA
17,3,SHIPPED_VIA
18,8,SHIPPED_VIA
19,3,SHIPPED_VIA
20,10,SHIPPED_VIA
21,4,SHIPPED_VIA
22,9,SHIPPED_VIA
23,5,SHIPPED_VIA
24,2,SHIPPED_VIA
25,4,SHIPPED_VIA
26,1,SHIPPED_VIA
27,7,SHIPPED_VIA
28,9,SHIPPED_VIA
29,8,SHIPPED_VIA
30,9,SHIPPED_VIA
31,3,SHIPPED_VIA
32,2,SHIPPED_VIA
33,4,SHIPPED_VIA
34,6,SHIPPED_VIA
35,7,SHIPPED_VIA
36,3,SHIPPED_VIA
37,5,SHIPPED_VIA
38,2,SHIPPED_VIA
39,8,SHIPPED_VIA
40,2,SHIPPED_VIA
41,5,SHIPPED_VIA
42,4,SHIPPED_VIA
43,8,SHIPPED_VIA
44,4,SHIPPED_VIA
45,8,SHIPPED_VIA
46,4,SHIPPED_VIA
47,6,SHIPPED_VIA
48,4,SHIPPED_VIA
49,8,SHIPPED_VIA
50,6,SHIPPED_VIA
51,2,SHIPPED_VIA
52,9,SHIPPED_VIA
53,4,SHIPPED_VIA
54,10,SHIPPED_VIA
55,4,SHIPPED_VIA
56,8,SHIPPED_VIA
57,1,SHIPPED_VIA
58,3,SHIPPED_VIA
59,1,SHIPPED_VIA
60,2,SHIPPED_VIA
61,4,SHIPPED_VIA
62,10,SHIPPED_VIA
63,1,SHIPPED_VIA
64,3,SHIPPED_VIA
65,8,SHIPPED_VIA
66,2,SHIPPED_VIA
67,3,SHIPPED_VIA
68,3,SHIPPED_VIA
69,7,SHIPPED_VIA
70,2,SHIPPED_VIA
71,6,SHIPPED_VIA
72,8,SHIPPED_VIA
73,2,SHIPPED_VIA
74,7,SHIPPED_VIA
75,4,SHIPPED_VIA
76,7,SHIPPED_VIA
77,7,SHIPPED_VIA
78,10,SHIPPED_VIA
79,6,SHIPPED_VIA
80,5,SHIPPED_VIA
81,4,SHIPPED_VIA
82,2,SHIPPED_VIA
83,7,SHIPPED_VIA
84,2,SHIPPED_VIA
85,2,SHIPPED_VIA
86,4,SHIPPED_VIA
87,6,SHIPPED_VIA
88,9,SHIPPED_VIA
89,8,SHIPPED_VIA
90,4,SHIPPED_VIA
91,6,SHIPPED_VIA
92,7,SHIPPED_VIA
93,8,SHIPPED_VIA
94,2,SHIPPED_VIA
95,10,SHIPPED_VIA
96,9,SHIPPED_VIA
97,6,SHIPPED_VIA
98,3,SHIPPED_VIA
99,5,SHIPPED_VIA
100,4,SHIPPED_VIA
101,2,SHIPPED_VIA
102,6,SHIPPED_VIA
103,3,SHIPPED_VIA
104,3,SHIPPED_VIA
105,3,SHIPPED_VIA
106,1,SHIPPED_VIA
107,1,SHIPPED_VIA
108,8,SHIPPED_VIA
109,1,SHIPPED_VIA
110,2,SHIPPED_VIA
111,3,SHIPPED_VIA
112,3,SHIPPED_VIA
113,8,SHIPPED_VIA
114,4,SHIPPED_VIA
115,3,SHIPPED_VIA
116,1,SHIPPED_VIA
117,9,SHIPPED_VIA
118,4,SHIPPED_VIA
119,2,SHIPPED_VIA
120,2,SHIPPED_VIA
121,5,SHIPPED_VIA
122,7,SHIPPED_VIA
123,6,SHIPPED_VIA
124,9,SHIPPED_VIA
125,6,SHIPPED_VIA
126,4,SHIPPED_VIA
127,1,SHIPPED_VIA
128,7,SHIPPED_VIA
129,10,SHIPPED_VIA
130,7,SHIPPED_VIA
131,9,SHIPPED_VIA
132,4,SHIPPED_VIA
133,5,SHIPPED_VIA
134,5,SHIPPED_VIA
135,3,SHIPPED_VIA
136,7,SHIPPED_VIA
137,10,SHIPPED_VIA
138,5,SHIPPED_VIA
139,7,SHIPPED_VIA
140,7,SHIPPED_VIA
141,10,SHIPPED_VIA
142,10,SHIPPED_VIA
143,2,SHIPPED_VIA
144,8,SHIPPED_VIA
145,4,SHIPPED_VIA
146,1,SHIPPED_VIA
147,6,SHIPPED_VIA
148,9,SHIPPED_VIA
149,7,SHIPPED_VIA
150,6,SHIPPED_VIA
151,10,SHIPPED_VIA
152,3,SHIPPED_VIA
153,7,SHIPPED_VIA
154,1,SHIPPED_VIA
155,10,SHIPPED_VIA
156,1,SHIPPED_VIA
157,1,SHIPPED_VIA
158,4,SHIPPED_VIA
159,10,SHIPPED_VIA
160,3,SHIPPED_VIA
161,6,SHIPPED_VIA
162,2,SHIPPED_VIA
163,10,SHIPPED_VIA
164,7,SHIPPED_VIA
165,3,SHIPPED_VIA
166,2,SHIPPED_VIA
167,7,SHIPPED_VIA
168,8,SHIPPED_VIA
169,6,SHIPPED_VIA
170,2,SHIPPED_VIA
171,9,SHIPPED_VIA
172,10,SHIPPED_VIA
173,2,SHIPPED_VIA
174,3,SHIPPED_VIA
175,1,SHIPPED_VIA
176,4,SHIPPED_VIA
177,6,SHIPPED_VIA
178,8,SHIPPED_VIA
179,6,SHIPPED_VIA
180,5,SHIPPED_VIA
181,8,SHIPPED_VIA
182,6,SHIPPED_VIA
183,10,SHIPPED_VIA
184,5,SHIPPED_VIA
185,6,SHIPPED_VIA
186,2,SHIPPED_VIA
187,3,SHIPPED_VIA
188,1,SHIPPED_VIA
189,6,SHIPPED_VIA
190,3,SHIPPED_VIA
191,2,SHIPPED_VIA
192,10,SHIPPED_VIA
193,3,SHIPPED_VIA
194,8,SHIPPED_VIA
195,9,SHIPPED_VIA
196,9,SHIPPED_VIA
197,9,SHIPPED_VIA
198,2,SHIPPED_VIA
199,10,SHIPPED_VIA
200,1,SHIPPED_VIA
201,2,SHIPPED_VIA
202,5,SHIPPED_VIA
203,3,SHIPPED_VIA
204,3,SHIPPED_VIA
205,10,SHIPPED_VIA
206,4,SHIPPED_VIA
207,7,SHIPPED_VIA
208,2,SHIPPED_VIA
209,10,SHIPPED_VIA
210,9,SHIPPED_VIA
211,9,SHIPPED_VIA
212,6,SHIPPED_VIA
213,4,SHIPPED_VIA
214,7,SHIPPED_VIA
215,6,SHIPPED_VIA
216,5,SHIPPED_VIA
217,3,SHIPPED_VIA
218,2,SHIPPED_VIA
219,2,SHIPPED_VIA
220,9,SHIPPED_VIA
221,2,SHIPPED_VIA
222,3,SHIPPED_VIA
223,4,SHIPPED_VIA
224,5,SHIPPED_VIA
225,10,SHIPPED_VIA
226,5,SHIPPED_VIA
227,1,SHIPPED_VIA
228,10,SHIPPED_VIA
229,4,SHIPPED_VIA
230,10,SHIPPED_VIA
231,4,SHIPPED_VIA
232,10,SHIPPED_VIA
233,6,SHIPPED_VIA
234,6,SHIPPED_VIA
235,10,SHIPPED_VIA
236,2,SHIPPED_VIA
237,6,SHIPPED_VIA
238,2,SHIPPED_VIA
239,3,SHIPPED_VIA
240,9,SHIPPED_VIA
241,1,SHIPPED_VIA
242,10,SHIPPED_VIA
243,6,SHIPPED_VIA
244,4,SHIPPED_VIA
245,9,SHIPPED_VIA
246,9,SHIPPED_VIA
247,3,SHIPPED_VIA
248,5,SHIPPED_VIA
249,7,SHIPPED_VIA
250,10,SHIPPED_VIA
251,7,SHIPPED_VIA
252,5,SHIPPED_VIA
253,5,SHIPPED_VIA
254,4,SHIPPED_VIA
255,3,SHIPPED_VIA
256,8,SHIPPED_VIA
257,3,SHIPPED_VIA
258,4,SHIPPED_VIA
259,2,SHIPPED_VIA
260,9,SHIPPED_VIA
261,10,SHIPPED_VIA
262,7,SHIPPED_VIA
263,1,SHIPPED_VIA
264,8,SHIPPED_VIA
265,5,SHIPPED_VIA
266,4,SHIPPED_VIA
267,7,SHIPPED_VIA
268,1,SHIPPED_VIA
269,1,SHIPPED_VIA
270,8,SHIPPED_VIA
271,2,SHIPPED_VIA
272,9,SHIPPED_VIA
273,9,SHIPPED_VIA
274,7,SHIPPED_VIA
