:START_ID(Product),:END_ID(Category),:TYPE
8,5,BELONGS_TO
12,4,BELONGS_TO
18,4,BELONGS_TO
38,19,BELONGS_TO
48,13,BELONGS_TO
72,9,BELONGS_TO
82,13,BELONGS_TO
24,5,BELONGS_TO
43,2,BELONGS_TO
60,7,BELONGS_TO
64,12,BELONGS_TO
65,10,BELONGS_TO
76,15,BELONGS_TO
78,1,BELONGS_TO
94,15,BELONGS_TO
13,17,BELONGS_TO
16,8,BELONGS_TO
36,19,BELONGS_TO
73,1,BELONGS_TO
84,17,BELONGS_TO
28,9,BELONGS_TO
33,11,BELONGS_TO
40,4,BELONGS_TO
44,18,BELONGS_TO
47,1,BELONGS_TO
14,18,BELONGS_TO
20,20,BELONGS_TO
32,20,BELONGS_TO
58,13,BELONGS_TO
61,1,BELONGS_TO
68,17,BELONGS_TO
100,15,BELONGS_TO
49,8,BELONGS_TO
66,1,BELONGS_TO
81,10,BELONGS_TO
4,11,BELONGS_TO
11,16,BELONGS_TO
42,8,BELONGS_TO
50,14,BELONGS_TO
71,12,BELONGS_TO
79,3,BELONGS_TO
96,15,BELONGS_TO
17,19,BELONGS_TO
19,19,BELONGS_TO
26,2,BELONGS_TO
29,14,BELONGS_TO
30,8,BELONGS_TO
34,17,BELONGS_TO
85,10,BELONGS_TO
97,20,BELONGS_TO
10,14,BELONGS_TO
23,5,BELONGS_TO
52,18,BELONGS_TO
74,4,BELONGS_TO
83,4,BELONGS_TO
91,8,BELONGS_TO
7,10,BELONGS_TO
45,20,BELONGS_TO
55,1,BELONGS_TO
59,10,BELONGS_TO
63,13,BELONGS_TO
67,6,BELONGS_TO
75,12,BELONGS_TO
98,10,BELONGS_TO
1,9,BELONGS_TO
9,19,BELONGS_TO
15,9,BELONGS_TO
22,10,BELONGS_TO
25,7,BELONGS_TO
46,19,BELONGS_TO
62,6,BELONGS_TO
69,19,BELONGS_TO
86,9,BELONGS_TO
87,2,BELONGS_TO
3,10,BELONGS_TO
5,10,BELONGS_TO
21,2,BELONGS_TO
31,1,BELONGS_TO
41,20,BELONGS_TO
51,19,BELONGS_TO
80,12,BELONGS_TO
39,11,BELONGS_TO
56,12,BELONGS_TO
70,19,BELONGS_TO
77,3,BELONGS_TO
89,17,BELONGS_TO
90,2,BELONGS_TO
92,17,BELONGS_TO
93,1,BELONGS_TO
6,7,BELONGS_TO
35,1,BELONGS_TO
57,10,BELONGS_TO
95,2,BELONGS_TO
2,17,BELONGS_TO
27,19,BELONGS_TO
37,11,BELONGS_TO
53,13,BELONGS_TO
54,2,BELONGS_TO
88,11,BELONGS_TO
99,7,BELONGS_TO
