:START_ID(Product),:END_ID(Supplier),:TYPE
8,1,SUPPLIED_BY
12,1,SUPPLIED_BY
18,1,SUPPLIED_BY
38,1,SUPPLIED_BY
48,1,SUPPLIED_BY
72,1,SUPPLIED_BY
82,1,SUPPLIED_BY
24,2,SUPPLIED_BY
43,2,SUPPLIED_BY
60,2,SUPPLIED_BY
64,2,SUPPLIED_BY
65,2,SUPPLIED_BY
76,2,SUPPLIED_BY
78,2,SUPPLIED_BY
94,2,SUPPLIED_BY
13,3,SUPPLIED_BY
16,3,SUPPLIED_BY
36,3,SUPPLIED_BY
73,3,SUPPLIED_BY
84,3,SUPPLIED_BY
28,4,SUPPLIED_BY
33,4,SUPPLIED_BY
40,4,SUPPLIED_BY
44,4,SUPPLIED_BY
47,4,SUPPLIED_BY
14,5,SUPPLIED_BY
20,5,SUPPLIED_BY
32,5,SUPPLIED_BY
58,5,SUPPLIED_BY
61,5,SUPPLIED_BY
68,5,SUPPLIED_BY
100,5,SUPPLIED_BY
49,6,SUPPLIED_BY
66,6,SUPPLIED_BY
81,6,SUPPLIED_BY
4,7,SUPPLIED_BY
11,7,SUPPLIED_BY
42,7,SUPPLIED_BY
50,7,SUPPLIED_BY
71,7,SUPPLIED_BY
79,7,SUPPLIED_BY
96,7,SUPPLIED_BY
17,8,SUPPLIED_BY
19,8,SUPPLIED_BY
26,8,SUPPLIED_BY
29,8,SUPPLIED_BY
30,8,SUPPLIED_BY
34,8,SUPPLIED_BY
85,8,SUPPLIED_BY
97,8,SUPPLIED_BY
10,9,SUPPLIED_BY
23,9,SUPPLIED_BY
52,9,SUPPLIED_BY
74,9,SUPPLIED_BY
83,9,SUPPLIED_BY
91,9,SUPPLIED_BY
7,10,SUPPLIED_BY
45,10,SUPPLIED_BY
55,10,SUPPLIED_BY
59,10,SUPPLIED_BY
63,10,SUPPLIED_BY
67,10,SUPPLIED_BY
75,10,SUPPLIED_BY
98,10,SUPPLIED_BY
1,11,SUPPLIED_BY
9,11,SUPPLIED_BY
15,11,SUPPLIED_BY
22,11,SUPPLIED_BY
25,11,SUPPLIED_BY
46,11,SUPPLIED_BY
62,11,SUPPLIED_BY
69,11,SUPPLIED_BY
86,11,SUPPLIED_BY
87,11,SUPPLIED_BY
3,12,SUPPLIED_BY
5,12,SUPPLIED_BY
21,12,SUPPLIED_BY
31,12,SUPPLIED_BY
41,12,SUPPLIED_BY
51,12,SUPPLIED_BY
80,12,SUPPLIED_BY
39,13,SUPPLIED_BY
56,13,SUPPLIED_BY
70,13,SUPPLIED_BY
77,13,SUPPLIED_BY
89,13,SUPPLIED_BY
90,13,SUPPLIED_BY
92,13,SUPPLIED_BY
93,13,SUPPLIED_BY
6,14,SUPPLIED_BY
35,14,SUPPLIED_BY
57,14,SUPPLIED_BY
95,14,SUPPLIED_BY
2,15,SUPPLIED_BY
27,15,SUPPLIED_BY
37,15,SUPPLIED_BY
53,15,SUPPLIED_BY
54,15,SUPPLIED_BY
88,15,SUPPLIED_BY
99,15,SUPPLIED_BY
